kernel,forward_ms,backward_ms,total_ms,status
CompTorch,97.94094264507294,129.60859537124634,227.54953801631927,success
Naive Attention,108.70427042245865,140.74888676404953,249.45315718650818,success
MyTriton,97.55830615758896,129.27910014986992,226.83740630745888,success
